run,qrels,p,all,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
bm25_orig_5,misinfo-qrels-graded.helpful-only,0.95,0.1081,0.0026,0.0045,0.0465,0.0437,0.0303,0.3575,0.3197,0.0022,0.1488,0.0000,0.1429,0.0101,NA,0.0477,0.1051,NA,0.0947,0.1326,NA,0.1223,0.1453,0.0679,NA,NA,NA,NA,0.1669,0.0330,0.0717,NA,0.1158,0.0528,0.0000,0.1887,NA,0.3654,0.1115,NA,0.2285,0.2688,NA,NA,0.2011,0.0285,0.0987,0.0283,NA,NA,0.0001
bm25_orig_5,misinfo-qrels-graded.harmful-only,0.95,0.1030,0.0065,0.0287,0.1347,0.0532,0.0003,0.0000,0.0334,0.0000,0.0553,0.0063,0.2495,0.2458,NA,0.0458,0.0079,NA,0.2647,0.0130,NA,0.0000,0.0006,0.1005,NA,NA,NA,NA,NA,0.9208,0.3697,NA,0.0000,0.1254,NA,0.1467,NA,0.0000,0.1575,NA,0.1147,0.0000,NA,NA,0.2141,0.0000,NA,0.0000,NA,NA,0.0000
bm25_orig_NC1_1,misinfo-qrels-graded.helpful-only,0.95,0.1209,0.0029,0.0102,0.0878,0.0358,0.0000,0.3268,0.1887,0.0000,0.1313,0.3541,0.2125,0.1013,NA,0.1546,0.0912,NA,0.4335,0.0719,NA,0.1112,0.0552,0.2272,NA,NA,NA,NA,0.1657,0.0741,0.0055,NA,0.0469,0.0084,0.0275,0.1154,NA,0.2107,0.2103,NA,0.0032,0.1047,NA,NA,0.0901,0.2813,0.0916,0.1434,NA,NA,0.0580
bm25_orig_NC1_1,misinfo-qrels-graded.harmful-only,0.95,0.1041,0.0055,0.1059,0.1464,0.0959,0.0000,0.0000,0.0000,0.0000,0.2823,0.0408,0.3287,0.2718,NA,0.0334,0.0001,NA,0.0387,0.0007,NA,0.0000,0.0000,0.1020,NA,NA,NA,NA,NA,0.7707,0.0024,NA,0.0000,0.0596,NA,0.1930,NA,0.0000,0.3276,NA,0.2537,0.0000,NA,NA,0.2735,0.0000,NA,0.0000,NA,NA,0.0000
bm25_orig_NC1_2,misinfo-qrels-graded.helpful-only,0.95,0.1052,0.0185,0.0146,0.0500,0.0000,0.0060,0.1700,0.1528,0.0000,0.3293,0.0000,0.0252,0.0572,NA,0.0465,0.0792,NA,0.1131,0.0511,NA,0.0251,0.0774,0.1015,NA,NA,NA,NA,0.0663,0.1812,0.0533,NA,0.1706,0.0007,0.0612,0.1574,NA,0.4721,0.1513,NA,0.0511,0.0069,NA,NA,0.1810,0.3706,0.0914,0.2596,NA,NA,0.0893
bm25_orig_NC1_2,misinfo-qrels-graded.harmful-only,0.95,0.1003,0.0051,0.1687,0.2051,0.1612,0.0273,0.0000,0.0191,0.0000,0.0931,0.0199,0.2937,0.1631,NA,0.0506,0.0046,NA,0.1355,0.0009,NA,0.0000,0.0000,0.1443,NA,NA,NA,NA,NA,0.4818,0.0001,NA,0.0082,0.0210,NA,0.0662,NA,0.0000,0.6049,NA,0.2388,0.0000,NA,NA,0.2044,0.0000,NA,0.0000,NA,NA,0.0919
bm25_orig_NC1_3,misinfo-qrels-graded.helpful-only,0.95,0.1128,0.1635,0.0127,0.0769,0.0609,0.0001,0.4034,0.0050,0.0022,0.0786,0.0867,0.0396,0.0573,NA,0.0639,0.0893,NA,0.1684,0.0633,NA,0.0979,0.0951,0.1300,NA,NA,NA,NA,0.2765,0.0195,0.0196,NA,0.0795,0.0000,0.1472,0.1166,NA,0.2815,0.1650,NA,0.1320,0.1498,NA,NA,0.1846,0.3868,0.0317,0.0675,NA,NA,0.1950
bm25_orig_NC1_3,misinfo-qrels-graded.harmful-only,0.95,0.0949,0.0198,0.0359,0.1497,0.0376,0.0000,0.0000,0.0000,0.0713,0.1225,0.3965,0.1904,0.2355,NA,0.0397,0.0028,NA,0.0450,0.0121,NA,0.0000,0.0251,0.0279,NA,NA,NA,NA,NA,0.6037,0.0807,NA,0.0000,0.0896,NA,0.1584,NA,0.0000,0.3544,NA,0.1463,0.0000,NA,NA,0.1747,0.0000,NA,0.0157,NA,NA,0.0000
bm25_orig_NC1_4,misinfo-qrels-graded.helpful-only,0.95,0.0965,0.0025,0.0052,0.0000,0.0000,0.1230,0.2198,0.1283,0.0000,0.1140,0.1137,0.0766,0.0101,NA,0.0145,0.1047,NA,0.0920,0.1972,NA,0.1088,0.0464,0.1091,NA,NA,NA,NA,0.1895,0.0113,0.0225,NA,0.1566,0.0073,0.0102,0.0726,NA,0.2340,0.0754,NA,0.0040,0.2189,NA,NA,0.0390,0.3348,0.2912,0.2012,NA,NA,0.0420
bm25_orig_NC1_4,misinfo-qrels-graded.harmful-only,0.95,0.1102,0.0033,0.0514,0.1354,0.0989,0.1697,0.0000,0.0001,0.0000,0.2974,0.3084,0.0013,0.2458,NA,0.1199,0.0000,NA,0.0760,0.0022,NA,0.0001,0.0000,0.0643,NA,NA,NA,NA,NA,0.7053,0.0852,NA,0.0000,0.1099,NA,0.1252,NA,0.0000,0.6108,NA,0.3055,0.0000,NA,NA,0.0000,0.0000,NA,0.0097,NA,NA,0.0007
bm25_orig_NC1_5,misinfo-qrels-graded.helpful-only,0.95,0.0779,0.0506,0.0188,0.0191,0.0638,0.0303,0.3575,0.3197,0.0000,0.0485,0.0000,0.0049,0.0574,NA,0.1747,0.0561,NA,0.0943,0.1464,NA,0.0885,0.0096,0.0695,NA,NA,NA,NA,0.0418,0.1305,0.0091,NA,0.1158,0.0613,0.0000,0.1457,NA,0.0035,0.0861,NA,0.1353,0.1078,NA,NA,0.0389,0.0021,0.1030,0.1276,NA,NA,0.0077
