run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
bm25_layman_CLEF,113005,0.7035,0.6401,0.6510,0.6423,0.5844,0.5216,0.4081,0.3443,0.3957
bm25_layman_CLEF,113006,0.0730,0.1831,0.2988,0.3493,0.3628,0.3243,0.2838,0.2604,0.3080
bm25_layman_CLEF,114004,0.3960,0.3206,0.3607,0.3679,0.4103,0.2442,0.2136,0.2803,0.3160
bm25_layman_CLEF,114005,0.5848,0.5933,0.6405,0.6008,0.6128,0.4354,0.3439,0.3629,0.4213
bm25_layman_CLEF,114006,0.4808,0.5966,0.5317,0.5269,0.4498,0.4279,0.2910,0.2538,0.3188
bm25_layman_CLEF,115004,0.5848,0.5631,0.5947,0.5298,0.5347,0.3895,0.2802,0.2582,0.3038
bm25_layman_CLEF,115005,0.4913,0.5567,0.6564,0.7139,0.6647,0.4340,0.2975,0.2699,0.3112
bm25_layman_CLEF,115006,0.7618,0.7474,0.6706,0.6606,0.6469,0.4734,0.3130,0.2746,0.3180
bm25_layman_CLEF,116004,0.2544,0.3418,0.4236,0.4041,0.3697,0.2487,0.1999,0.2343,0.2919
bm25_layman_CLEF,116005,0.6578,0.6036,0.4892,0.4411,0.3960,0.2742,0.2340,0.2427,0.2772
bm25_layman_CLEF,116006,0.5030,0.4698,0.4779,0.4822,0.3950,0.3346,0.2807,0.3011,0.3367
bm25_layman_CLEF,117004,0.5922,0.7354,0.7949,0.7799,0.7373,0.5737,0.3839,0.3455,0.3901
bm25_layman_CLEF,117005,1.0000,0.9669,0.9505,0.8925,0.8266,0.5753,0.4182,0.3598,0.3959
bm25_layman_CLEF,117006,1.0000,0.9322,0.9474,0.8899,0.8240,0.5869,0.4252,0.3582,0.3995
bm25_layman_CLEF,118004,0.1726,0.1904,0.1476,0.1229,0.0944,0.0533,0.0613,0.0925,0.1171
bm25_layman_CLEF,118005,1.0000,0.8627,0.8936,0.8439,0.7648,0.5914,0.4764,0.5456,0.5778
bm25_layman_CLEF,118006,0.1918,0.1245,0.1413,0.1176,0.0904,0.0556,0.0550,0.0680,0.0849
bm25_layman_CLEF,119004,1.0000,0.9608,0.9270,0.9051,0.9046,0.6287,0.5322,0.4282,0.4771
bm25_layman_CLEF,119005,0.3392,0.4953,0.5381,0.5831,0.6101,0.4966,0.4259,0.3994,0.4714
bm25_layman_CLEF,119006,1.0000,0.9364,0.8168,0.7639,0.7036,0.5739,0.4548,0.4197,0.4985
bm25_layman_CLEF,120004,0.1696,0.2473,0.2372,0.2315,0.2347,0.1722,0.1332,0.1398,0.1580
bm25_layman_CLEF,120005,0.1504,0.2474,0.2855,0.2711,0.3005,0.2221,0.1793,0.1933,0.2356
bm25_layman_CLEF,120006,0.0000,0.0663,0.0962,0.0801,0.0616,0.0431,0.0495,0.1070,0.1396
bm25_layman_CLEF,121004,0.1386,0.0900,0.0697,0.0909,0.1384,0.1232,0.1101,0.1301,0.1712
bm25_layman_CLEF,121005,0.5996,0.5981,0.5316,0.4760,0.4816,0.3540,0.2670,0.3077,0.3321
bm25_layman_CLEF,121006,0.9270,0.8114,0.7650,0.6717,0.5831,0.4241,0.3291,0.3259,0.3693
bm25_layman_CLEF,122004,0.1726,0.1487,0.1153,0.1288,0.1698,0.1771,0.1620,0.1873,0.2451
bm25_layman_CLEF,122005,0.3082,0.4777,0.5014,0.5178,0.5131,0.3670,0.3048,0.3151,0.3827
bm25_layman_CLEF,122006,0.5192,0.4019,0.3808,0.3511,0.2810,0.2406,0.2140,0.2522,0.3361
bm25_layman_CLEF,123004,1.0000,1.0000,1.0000,1.0000,0.9410,0.8230,0.6612,0.4853,0.5591
bm25_layman_CLEF,123005,0.7130,0.7790,0.7811,0.8178,0.8040,0.5702,0.3709,0.2672,0.3402
bm25_layman_CLEF,123006,0.5148,0.5476,0.5182,0.5648,0.5840,0.4580,0.3635,0.2477,0.2804
bm25_layman_CLEF,124004,0.5192,0.4034,0.3127,0.3292,0.3130,0.1926,0.1775,0.1930,0.2573
bm25_layman_CLEF,124005,0.5434,0.3918,0.3251,0.2706,0.2869,0.2406,0.1931,0.2291,0.2665
bm25_layman_CLEF,124006,0.1312,0.2253,0.2408,0.2178,0.2474,0.2282,0.1924,0.2001,0.2519
bm25_layman_CLEF,125004,1.0000,0.9653,0.8619,0.8196,0.7329,0.4584,0.3239,0.2685,0.3147
bm25_layman_CLEF,125005,0.5340,0.5166,0.4481,0.3730,0.4006,0.3635,0.2767,0.2018,0.2265
bm25_layman_CLEF,125006,0.6888,0.5833,0.6071,0.5553,0.5537,0.4058,0.3299,0.2743,0.3163
bm25_layman_CLEF,126004,0.1726,0.2136,0.2124,0.1933,0.1485,0.0853,0.0782,0.0840,0.0868
